name	gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	vOTU	confidence
vOTU2944-cat_1_5-GH5	vOTU2944-cat_1_5	vOTU2944-cat_1	GH5	"GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146);"	carbon utilization	CAZY	"Amorphous Cellulose Backbone Cleavage, Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Chitin Oligo Cleavage"	Glycoside Hydrolases	2	MKEF	vOTU2944	high confidence
vOTU291-cat_1_68-GH130	vOTU291-cat_1_68	vOTU291-cat_1	GH130	"GH130 beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.-); beta-1,2-oligomannan phosphorylase (EC 2.4.1.-); beta-1,2-mannosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Alpha-mannan Oligo Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)"	Glycoside Hydrolases	2	M	vOTU291	-
vOTU282-cat_2_30-K03737	vOTU282-cat_2_30	vOTU282-cat_2	K03737	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	carbon utilization	pyruvate metabolism		"Pyruvate oxidation, pyruvate => acetyl-CoA"	2	M	vOTU282	high confidence
vOTU282-cat_2_21-K05942	vOTU282-cat_2_21	vOTU282-cat_2	K05942	citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	carbon utilization	central carbon	TCA	"Citrate cycle (TCA cycle, Krebs cycle)"	2	MK	vOTU282	high confidence
vOTU2794-cat_1_7-K09691	vOTU2794-cat_1_7	vOTU2794-cat_1	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	Transporters	Transporters		Lipopolysaccharide transport system	2	MF	vOTU2794	high confidence
vOTU25-cat_1_463-K09883	vOTU25-cat_1_463	vOTU25-cat_1	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	1	MKT	vOTU25	high confidence
vOTU25-cat_1_412-GH130	vOTU25-cat_1_412	vOTU25-cat_1	GH130	"GH130 beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.-); beta-1,2-oligomannan phosphorylase (EC 2.4.1.-); beta-1,2-mannosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Alpha-mannan Oligo Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)"	Glycoside Hydrolases	1	MT	vOTU25	high confidence
vOTU259-cat_2_23-GH74	vOTU259-cat_2_23	vOTU259-cat_2	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	2	M	vOTU259	-
vOTU259-cat_2_16-K09808	vOTU259-cat_2_16	vOTU259-cat_2	K09808	ABC.LPT.P; lipoprotein-releasing system permease protein	Transporters	Transporters		Lipoprotein-releasing system	2	M	vOTU259	-
vOTU255-cat_1_51-CBM54	vOTU255-cat_1_51	vOTU255-cat_1	CBM54	"CBM54 Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	M	vOTU255	-
vOTU245-cat_1_56-GH46	vOTU245-cat_1_56	vOTU245-cat_1	GH46	GH46 chitosanase (EC 3.2.1.132)	carbon utilization	CAZY		Glycoside Hydrolases	1	M	vOTU245	-
vOTU245-cat_1_55-GH46	vOTU245-cat_1_55	vOTU245-cat_1	GH46	GH46 chitosanase (EC 3.2.1.132)	carbon utilization	CAZY		Glycoside Hydrolases	1	M	vOTU245	-
vOTU2359-cat_1_7-GH3	vOTU2359-cat_1_7	vOTU2359-cat_1	GH3	"GH3 beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-)"	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xylan Oligo Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Arabinan Oligo Cleavage, Chitin Oligo Cleavage"	Glycoside Hydrolases	2	MKTF	vOTU2359	high confidence
vOTU2316-cat_1_4-CBM32	vOTU2316-cat_1_4	vOTU2316-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU2316	high confidence
vOTU2315-cat_1_6-GH5	vOTU2315-cat_1_6	vOTU2315-cat_1	GH5	"GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146);"	carbon utilization	CAZY	"Amorphous Cellulose Backbone Cleavage, Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Chitin Oligo Cleavage"	Glycoside Hydrolases	1	MKEF	vOTU2315	-
vOTU2283-cat_1_5-K16923	vOTU2283-cat_1_5	vOTU2283-cat_1	K16923	qrtT; energy-coupling factor transport system substrate-specific component	Transporters	Transporters		Energy-coupling factor transport system	2	MF	vOTU2283	high confidence
vOTU2283-cat_1_4-K16786	vOTU2283-cat_1_4	vOTU2283-cat_1	K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	Transporters	Transporters		Energy-coupling factor transport system	2	MF	vOTU2283	high confidence
vOTU227-cat_1_20-CE4	vOTU227-cat_1_20	vOTU227-cat_1	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	carbon utilization	CAZY	Chitin Oligo Cleavage	Carbohydrate Esterases	1	M	vOTU227	-
vOTU2218-cat_1_8-GH39	vOTU2218-cat_1_8	vOTU2218-cat_1	GH39	GH39 alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).	carbon utilization	CAZY	Xylan Oligo Cleavage (Hemicellulose)	Glycoside Hydrolases	1	MKE	vOTU2218	high confidence
vOTU220-cat_1_58-GH136	vOTU220-cat_1_58	vOTU220-cat_1	GH136	GH136 lacto-N-biosidase (EC 3.2.1.140)	carbon utilization	CAZY		Glycoside Hydrolases	2	M	vOTU220	high confidence
vOTU206-cat_1_62-K06861	vOTU206-cat_1_62	vOTU206-cat_1	K06861	lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]	Transporters	Transporters		Lipopolysaccharide export system	2	M	vOTU206	high confidence
vOTU206-cat_1_58-GH2	vOTU206-cat_1_58	vOTU206-cat_1	GH2	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146);	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xyloglucan Oligo Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose), Pectin Oligo Cleavage, Beta-galactan (pectic galactan) Oligo Cleavage, Arabinose Oligo cleavage"	Glycoside Hydrolases	2	MK	vOTU206	high confidence
vOTU206-cat_1_57-GH43	vOTU206-cat_1_57	vOTU206-cat_1	GH43	"GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)"	carbon utilization	CAZY	"Xyloglucan Oligo Cleavage (Hemicellulose), Arabinan Backbone Cleavage, Arabinan Oligo Cleavage"	Glycoside Hydrolases	2	MK	vOTU206	high confidence
vOTU2041-cat_1_8-CE12	vOTU2041-cat_1_8	vOTU2041-cat_1	CE12	CE12 pectin acetylesterase (EC 3.1.1.-); rhamnogalacturonan acetylesterase (EC 3.1.1.-); acetyl xylan esterase (EC 3.1.1.72)	carbon utilization	CAZY	Pectin Oligo Cleavage	Carbohydrate Esterases	2	MF	vOTU2041	high confidence
vOTU2011-cat_1_4-CE4	vOTU2011-cat_1_4	vOTU2011-cat_1	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	carbon utilization	CAZY	Chitin Oligo Cleavage	Carbohydrate Esterases	2	MF	vOTU2011	-
vOTU194-cat_1_23-GH1	vOTU194-cat_1_23	vOTU194-cat_1	GH1	"GH1 beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-)"	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Beta-galactan (pectic galactan) Oligo Cleavage"	Glycoside Hydrolases	1	M	vOTU194	-
vOTU194-cat_1_21-AA7	vOTU194-cat_1_21	vOTU194-cat_1	AA7	AA7 glucooligosaccharide oxidase (EC 1.1.3.-); chitooligosaccharide oxidase (EC 1.1.3.-)	carbon utilization	CAZY		Auxiliary Activities	1	MK	vOTU194	high confidence
vOTU194-cat_1_21-AA4	vOTU194-cat_1_21	vOTU194-cat_1	AA4	AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)	carbon utilization	CAZY	Polyphenolics Cleavage	Auxiliary Activities	1	MK	vOTU194	high confidence
vOTU1937-cat_1_6-GH87	vOTU1937-cat_1_6	vOTU1937-cat_1	GH87	"GH87 mycodextranase (EC 3.2.1.61); alpha-1,3-glucanase (EC 3.2.1.59)"	carbon utilization	CAZY		Glycoside Hydrolases	2	MF	vOTU1937	high confidence
vOTU1879-cat_1_4-K02003	vOTU1879-cat_1_4	vOTU1879-cat_1	K02003	ABC.CD.A;	Transporters	Transporters		Putative ABC transport system	2	MTF	vOTU1879	high confidence
vOTU1755-cat_1_9-CE4	vOTU1755-cat_1_9	vOTU1755-cat_1	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	carbon utilization	CAZY	Chitin Oligo Cleavage	Carbohydrate Esterases	2	MF	vOTU1755	-
vOTU1719-cat_2_4-CBM47	vOTU1719-cat_2_4	vOTU1719-cat_2	CBM47	CBM47 Modules of approx 150 residues. Fucose-binding activity demonstrated	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MF	vOTU1719	-
vOTU1719-cat_2_4-CBM32	vOTU1719-cat_2_4	vOTU1719-cat_2	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MF	vOTU1719	-
vOTU1695-cat_1_11-K09694	vOTU1695-cat_1_11	vOTU1695-cat_1	K09694	nodJ; lipooligosaccharide transport system permease protein	Transporters	Transporters		Lipooligosaccharide transport system	2	MF	vOTU1695	high confidence
vOTU1666-cat_1_9-K11720	vOTU1666-cat_1_9	vOTU1666-cat_1	K11720	lptG; lipopolysaccharide export system permease protein	Transporters	Transporters		Lipopolysaccharide export system	2	M	vOTU1666	high confidence
vOTU163-cat_1_66-K16927	vOTU163-cat_1_66	vOTU163-cat_1	K16927	cbrT; energy-coupling factor transport system substrate-specific component	Transporters	Transporters		Energy-coupling factor transport system	2	M	vOTU163	high confidence
vOTU1571-cat_1_11-K00616	vOTU1571-cat_1_11	vOTU1571-cat_1	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	2	MKE	vOTU1571	-
vOTU1571-cat_1_10-K04069	vOTU1571-cat_1_10	vOTU1571-cat_1	K04069	pyruvate formate lyase activating enzyme	carbon utilization	pyruvate metabolism		pyruvate metabolism	2	M	vOTU1571	-
vOTU149-cat_1_88-GH140	vOTU149-cat_1_88	vOTU149-cat_1	GH140	GH140 apiosidase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	1	M	vOTU149	-
vOTU145-cat_1_34-CE5	vOTU145-cat_1_34	vOTU145-cat_1	CE5	CE5 acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74)	carbon utilization	CAZY		Carbohydrate Esterases	1	M	vOTU145	-
vOTU1443-cat_1_12-K02406	vOTU1443-cat_1_12	vOTU1443-cat_1	K02406	flagellin	MISC	Flagella Structure		Flagellar Assembly	2	M	vOTU1443	-
vOTU138-cat_1_51-CBM16	vOTU138-cat_1_51	vOTU138-cat_1	CBM16	CBM16 Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MKT	vOTU138	high confidence
vOTU1377-cat_1_4-GH16	vOTU1377-cat_1_4	vOTU1377-cat_1	GH16	"GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)"	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage"	Glycoside Hydrolases	1	MKEF	vOTU1377	-
vOTU1369-cat_1_5-K02050	vOTU1369-cat_1_5	vOTU1369-cat_1	K02050	ABC.SN.P; sulfonate/nitrate/taurine transport system permease protein	Transporters	Transporters		NitT/TauT family transport system	2	MF	vOTU1369	high confidence
vOTU1363-cat_1_16-CE1	vOTU1363-cat_1_16	vOTU1363-cat_1	CE1	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122)	carbon utilization	CAZY		Carbohydrate Esterases	2	MF	vOTU1363	high confidence
vOTU1326-cat_1_19-K04069	vOTU1326-cat_1_19	vOTU1326-cat_1	K04069	pyruvate formate lyase activating enzyme	carbon utilization	pyruvate metabolism		pyruvate metabolism	2	MF	vOTU1326	high confidence
vOTU129-cat_1_58-GH33	vOTU129-cat_1_58	vOTU129-cat_1	GH33	GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	1	MT	vOTU129	high confidence
vOTU1294-cat_1_4-GH74	vOTU1294-cat_1_4	vOTU1294-cat_1	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	2	M	vOTU1294	-
vOTU1261-cat_1_20-GH113	vOTU1261-cat_1_20	vOTU1261-cat_1	GH113	GH113 beta-mannanase (EC 3.2.1.78)	carbon utilization	CAZY	"Beta-mannan Backbone Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)"	Glycoside Hydrolases	1	MF	vOTU1261	high confidence
vOTU119-cat_1_156-K07323	vOTU119-cat_1_156	vOTU119-cat_1	K07323	mlaC; phospholipid transport system substrate-binding protein	Transporters	Transporters		Phospholipid transport system	1	M	vOTU119	-
vOTU1192-cat_2_21-K09811	vOTU1192-cat_2_21	vOTU1192-cat_2	K09811	ftsX; cell division transport system permease protein	Transporters	Transporters		Cell division transport system	2	MF	vOTU1192	high confidence
vOTU1192-cat_2_20-K09812	vOTU1192-cat_2_20	vOTU1192-cat_2	K09812	ftsE; cell division transport system ATP-binding protein	Transporters	Transporters		Cell division transport system	2	M	vOTU1192	high confidence
vOTU114-cat_2_89-K09883	vOTU114-cat_2_89	vOTU114-cat_2	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	2	MK	vOTU114	-
vOTU114-cat_2_84-K09882	vOTU114-cat_2_84	vOTU114-cat_2	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	2	M	vOTU114	high confidence
vOTU1145-cat_1_16-AA7	vOTU1145-cat_1_16	vOTU1145-cat_1	AA7	AA7 glucooligosaccharide oxidase (EC 1.1.3.-); chitooligosaccharide oxidase (EC 1.1.3.-)	carbon utilization	CAZY		Auxiliary Activities	2	MF	vOTU1145	high confidence
vOTU110-cat_1_6-GH140	vOTU110-cat_1_6	vOTU110-cat_1	GH140	GH140 apiosidase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	2	MF	vOTU110	-
vOTU1099-cat_1_15-CE4	vOTU1099-cat_1_15	vOTU1099-cat_1	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	carbon utilization	CAZY	Chitin Oligo Cleavage	Carbohydrate Esterases	2	M	vOTU1099	high confidence
vOTU108-cat_1_58-K09883	vOTU108-cat_1_58	vOTU108-cat_1	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	2	MK	vOTU108	high confidence
vOTU1073-cat_1_6-K04069	vOTU1073-cat_1_6	vOTU1073-cat_1	K04069	pyruvate formate lyase activating enzyme	carbon utilization	pyruvate metabolism		pyruvate metabolism	2	M	vOTU1073	high confidence
vOTU1073-cat_1_4-K00854	vOTU1073-cat_1_4	vOTU1073-cat_1	K00854	xylulokinase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	xylose degradation (isomerase pathway)	Fructose and mannose metabolism	2	MF	vOTU1073	high confidence
vOTU1065-cat_1_3-PL22	vOTU1065-cat_1_3	vOTU1065-cat_1	PL22	PL22 oligogalacturonate lyase / oligogalacturonide lyase (EC 4.2.2.6)	carbon utilization	CAZY	Pectin Backbone Cleavage	Polysaccharide Lyases	2	MF	vOTU1065	high confidence
vOTU1064-cat_1_21-GH94	vOTU1064-cat_1_21	vOTU1064-cat_1	GH94	"GH94 cellobiose phosphorylase (EC 2.4.1.20); laminaribiose phosphorylase (EC 2.4.1.31); cellodextrin phosphorylase (EC 2.4.1.49); chitobiose phosphorylase (EC 2.4.1.-); cyclic beta-1,2-glucan synthase (EC 2.4.1.-); cellobionic acid phosphorylase (EC 2.4.1.321); beta-1,2-oligoglucan phosphorylase (EC 2.4.1.-)"	carbon utilization	CAZY	Amorphous Cellulose Oligo Cleavage	Glycoside Hydrolases	2	MF	vOTU1064	high confidence
