vOTU	VC	 prediction_PhaGCN	Host_Genus	lifeway	checkv_quality	miuvig_quality	completeness	vs_max_score	vs_max_score_group	hallmark	dvf_score	dvf_pvalue	Length	sample	project	country
vOTU2628	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.867	dsDNAphage	0	NA	NA	11545	SRR10346361	PRJNA579552	China
vOTU2629	VC_2247_0	Korravirus_like	Unclassified	virulent	Low-quality	Genome-fragment	9.49	0.98	dsDNAphage	0	0.988051891	0.007855578	11544	"SRR10159353,SRR10159355,SRR10159348,SRR10159352,SRR10159350,SRR10159347"	PRJNA562057	China
vOTU2630	VC_2197_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	3.63	0.873	dsDNAphage	0	NA	NA	11543	"SRR12550831,SRR12550807,SRR12550834,SRR12550835,SRR12550833,SRR12550806,SRR12550803,SRR12550804,SRR12550832"	PRJNA632564	China
vOTU2631	Unclassified	Mesyanzhinovviridae	Unclassified	virulent	Low-quality	Genome-fragment	25.1	1	dsDNAphage	12	NA	NA	11538	SRR10346359	PRJNA579552	China
vOTU2632	Unclassified	Vilmaviridae	Unclassified	temperate	Low-quality	Genome-fragment	13.94	0.587	dsDNAphage	0	0.954468369	0.013105219	11536	"SRR1190306,SRR1190308"	PRJNA240951	China
vOTU2633	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.951322913	0.013445124	11536	SRR17754575	PRJNA799794	China
vOTU2634	Unclassified	Herelleviridae	Unclassified	virulent	Low-quality	Genome-fragment	8.14	0.913	dsDNAphage	0	0.995692492	0.005835033	11526	SRR1745835	PRJNA271842	India
vOTU2635	VC_2106_0	unknown	Unclassified	temperate	Low-quality	Genome-fragment	6.36	0.807	dsDNAphage	1	NA	NA	11524	SRR17754576	PRJNA799794	China
vOTU2636	VC_2249_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	14.59	0.98	dsDNAphage	0	0.978294492	0.009536219	11522	SRR12550823	PRJNA632564	China
vOTU2637	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.999601364	0.002643704	11518	"SRR14026575,SRR14026606,SRR14026577,SRR14026579,SRR14026607,SRR14026586,SRR14026574,SRR14026597,SRR14026578,SRR14026608,SRR14026609,SRR14026576,SRR14026602,SRR14026581,SRR14026591,SRR14026585,SRR14026582,SRR14026605,SRR14026601,SRR14026589,SRR14026588,SRR14026580,SRR14026603,SRR14026600,SRR14026604,SRR14026583,SRR14026584"	PRJNA714492	Switzerland
vOTU2638	VC_2250_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	15.72	1	dsDNAphage	3	NA	NA	11515	"SRR5823612,SRR5823613,SRR5823609,SRR5823608,SRR5823606,SRR5823599,SRR5823610,SRR5823598,SRR5823611"	PRJNA393632	Germany
vOTU2639	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	11.18	0.993	dsDNAphage	1	NA	NA	11515	"SRR5823600,SRR5823602"	PRJNA393632	Germany
vOTU2640	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	17.68	0.92	dsDNAphage	0	NA	NA	11512	"SRR12550810,SRR12550809,SRR12550813,SRR12550801,SRR12550800,SRR12550812,SRR12550811"	PRJNA632564	China
vOTU2641	VC_2093_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	11.63	0.993	dsDNAphage	0	NA	NA	11511	"SRR5823595,SRR5823597"	PRJNA393632	Germany
vOTU2642	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.76	dsDNAphage	1	NA	NA	11509	"SRR5823597,SRR5823598"	PRJNA393632	Germany
vOTU2643	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	16.14	0.773	dsDNAphage	0	0.999892831	0.001680641	11494	"SRR5823607,SRR5823604,SRR5823605"	PRJNA393632	Germany
vOTU2644	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.947	dsDNAphage	2	NA	NA	11486	SRR17754575	PRJNA799794	China
vOTU2645	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.56	1	dsDNAphage	1	0.991985321	0.006930282	11484	"SRR5823603,SRR5823596"	PRJNA393632	Germany
vOTU2646	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	16.3	0.727	dsDNAphage	0	NA	NA	11483	"SRR10341085,SRR10341083"	PRJNA579335	China
vOTU2647	Unclassified	Obolenskvirus	Unclassified	temperate	Low-quality	Genome-fragment	24.34	0.993	dsDNAphage	2	NA	NA	11475	"SRR10159353,SRR10159355,SRR10159349,SRR10159347"	PRJNA562057	China
vOTU2648	VC_1124_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	18.18	0.987	dsDNAphage	2	NA	NA	11473	SRR5512143	PRJNA385547	China
vOTU2649	Unclassified	Kyanoviridae	Unclassified	virulent	Low-quality	Genome-fragment	12.59	0.98	dsDNAphage	1	0.998981595	0.003682302	11473	"SRR1190306,SRR1190308,SRR7012218"	"PRJNA240951,PRJNA450451"	China
vOTU2650	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	16.76	0.833	dsDNAphage	2	NA	NA	11472	SRR17754575	PRJNA799794	China
vOTU2651	VC_2251_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.68	0.78	dsDNAphage	0	NA	NA	11468	"SRR10159350,SRR10159353,SRR10159347,SRR10159352,SRR10159355,SRR10159348,SRR10159349,SRR10159351"	PRJNA562057	China
vOTU2652	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.953	dsDNAphage	0	NA	NA	11467	"SRR5823602,SRR5823595,SRR5823601,SRR5823596"	PRJNA393632	Germany
vOTU2653	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	6.83	0.66	dsDNAphage	0	0.994804442	0.00613717	11459	SRR17754576	PRJNA799794	China
vOTU2654	Unclassified	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	0.507	dsDNAphage	0	NA	NA	11452	"SRR5823600,SRR5823595,SRR5823603,SRR5823598,SRR5823608"	PRJNA393632	Germany
vOTU2655	VC_2130_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.977018476	0.009668404	11447	SRR5512146	PRJNA385547	China
vOTU2656	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.965065777	0.011613415	11442	"SRR14026609,SRR14026600,SRR14026601,SRR14026602,SRR14026603,SRR14026604,SRR14026605,SRR14026597"	PRJNA714492	Switzerland
vOTU2657	VC_1440_0	unknown	Unclassified	temperate	Low-quality	Genome-fragment	13.69	0.947	dsDNAphage	0	NA	NA	11437	SRR17754575	PRJNA799794	China
vOTU2658	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	14.83	0.62	dsDNAphage	0	0.996433973	0.005532895	11434	"SRR10159355,SRR10159353,SRR10159352,SRR10159350,SRR10159347,SRR10159348"	PRJNA562057	China
vOTU2659	VC_2252_0	Gracegardnervirinae	Unclassified	temperate	Low-quality	Genome-fragment	21.71	0.853	dsDNAphage	0	NA	NA	11426	"SRR12550823,SRR12550822,SRR12550820,SRR12550821"	PRJNA632564	China
vOTU2660	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	11.15	1	dsDNAphage	1	NA	NA	11423	SRR5823602	PRJNA393632	Germany
vOTU2661	Unclassified	Vividuovirus	Streptomyces	virulent	Low-quality	Genome-fragment	12.63	0.973	dsDNAphage	1	0.984204412	0.008686457	11420	SRR7012218	PRJNA450451	China
vOTU2662	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	19.38	0.84	dsDNAphage	0	0.99999392	0.000585392	11418	SRR7012218	PRJNA450451	China
vOTU2663	VC_2042_0	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	0.62	dsDNAphage	0	0.999999046	0.000396556	11410	"SRR10159350,SRR10159352,SRR10159351,SRR10159355,SRR10159353"	PRJNA562057	China
vOTU2664	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	23.25	0.973	dsDNAphage	5	NA	NA	11409	SRR5823607	PRJNA393632	Germany
vOTU2665	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.19	0.533	dsDNAphage	0	NA	NA	11409	"SRR5823600,SRR5823595,SRR5823603,SRR5823596"	PRJNA393632	Germany
vOTU2666	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	10.21	0.98	dsDNAphage	1	0.930192351	0.015541204	11407	SRR11450581	PRJNA616041	American
vOTU2667	VC_2253_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.999569297	0.002757006	11407	"SRR12550821,SRR12550822,SRR12550823,SRR12550820"	PRJNA632564	China
vOTU2668	VC_1718_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	18.5	0.987	dsDNAphage	4	NA	NA	11404	"SRR14026597,SRR14026609,SRR14026608,SRR14026586,SRR14026579,SRR14026577"	PRJNA714492	Switzerland
vOTU2669	VC_512_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	20.17	0.993	dsDNAphage	6	0.994788766	0.00613717	11401	SRR5877196	PRJNA392834	China
vOTU2670	Unclassified	Gracegardnervirinae	Unclassified	virulent	Low-quality	Genome-fragment	15.79	0.553	dsDNAphage	0	NA	NA	11398	SRR12550821	PRJNA632564	China
vOTU2671	VC_2242_0	Polycipiviridae	Unclassified	virulent	High-quality	High-quality	100	1	RNA	1	NA	NA	11398	SRR11450579	PRJNA616041	American
vOTU2672	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.955039918	0.013010801	11398	"SRR14026608,SRR14026609,SRR14026579,SRR14026597,SRR14026586,SRR14026576,SRR14026577"	PRJNA714492	Switzerland
vOTU2673	VC_412_0	Dolichocephalovirinae	Unclassified	temperate	Low-quality	Genome-fragment	29.83	0.833	dsDNAphage	0	NA	NA	11397	SRR1745861	PRJNA271842	India
vOTU2674	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	18.93	0.967	dsDNAphage	1	0.940917015	0.014691442	11396	SRR12550821	PRJNA632564	China
vOTU2675	VC_801_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	18.22	0.907	dsDNAphage	3	NA	NA	11395	SRR5823595	PRJNA393632	Germany
vOTU2676	VC_1992_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	25.74	0.993	dsDNAphage	1	NA	NA	11390	SRR17754575	PRJNA799794	China
vOTU2677	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.985294461	0.008497621	11385	SRR5823598	PRJNA393632	Germany
vOTU2678	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	14.55	0.6	dsDNAphage	3	NA	NA	11381	"DRR012575,DRR012576"	PRJNA202273	Japan
vOTU2679	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	13.38	0.947	dsDNAphage	2	NA	NA	11376	SRR5877196	PRJNA392834	China
vOTU2680	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.999993086	0.000604275	11373	"SRR5823607,SRR5823605"	PRJNA393632	Germany
vOTU2681	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	30.59	0.993	dsDNAphage	6	NA	NA	11371	"SRR10346360,SRR10346359"	PRJNA579552	China
vOTU2682	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	18.32	0.793	dsDNAphage	2	0.97827363	0.009536219	11370	SRR10159356	PRJNA562057	China
vOTU2683	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	13.1	0.853	dsDNAphage	1	NA	NA	11368	SRR5823595	PRJNA393632	Germany
vOTU2684	VC_1901_0	Autographiviridae	Unclassified	virulent	Low-quality	Genome-fragment	25.05	1	dsDNAphage	1	NA	NA	11363	SRR5823596	PRJNA393632	Germany
vOTU2685	VC_2254_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	17.06	0.913	dsDNAphage	2	0.999766707	0.002114963	11355	"SRR10159350,SRR10159352,SRR10159351,SRR10159355,SRR10159353,SRR10159354,SRR10159348"	PRJNA562057	China
vOTU2686	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.94	dsDNAphage	3	NA	NA	11354	SRR11450584	PRJNA616041	American
vOTU2687	VC_2255_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	16.16	0.993	dsDNAphage	1	0.946600318	0.014068283	11349	"SRR12550821,SRR12550822,SRR12550823,SRR12550820"	PRJNA632564	China
vOTU2688	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.747	dsDNAphage	0	NA	NA	11347	"SRR10159353,SRR10159349,SRR10159355"	PRJNA562057	China
vOTU2689	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.943496466	0.014351537	11346	"SRR10159354,SRR10159355,SRR10159348,SRR10159353"	PRJNA562057	China
vOTU2690	Unclassified	Korravirus	Unclassified	virulent	Low-quality	Genome-fragment	13.01	NA	NA	NA	0.999535918	0.002813657	11344	SRR7012218	PRJNA450451	China
vOTU2691	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	15	0.507	dsDNAphage	0	0.984226882	0.008686457	11335	SRR10159356	PRJNA562057	China
vOTU2692	VC_1717_0	Fernvirus	Unclassified	temperate	Low-quality	Genome-fragment	28	0.673	dsDNAphage	0	NA	NA	11334	SRR17754575	PRJNA799794	China
vOTU2693	VC_253_0	unknown	Unclassified	temperate	Low-quality	Genome-fragment	6.05	0.92	dsDNAphage	1	1	0	11332	"SRR5823607,SRR5823604,SRR5823605"	PRJNA393632	Germany
vOTU2694	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	32.68	0.927	dsDNAphage	2	NA	NA	11329	SRR17754575	PRJNA799794	China
vOTU2695	VC_2026_0	Sepvirinae_like	Unclassified	virulent	Low-quality	Genome-fragment	10.83	0.987	dsDNAphage	2	NA	NA	11327	"SRR14026576,SRR14026574,SRR14026577,SRR14026608,SRR14026579,SRR14026578,SRR14026597,SRR14026607,SRR14026575,SRR14026586,SRR14026606,SRR14026609"	PRJNA714492	Switzerland
vOTU2696	Unclassified	Kyanoviridae	Unclassified	temperate	Low-quality	Genome-fragment	6.85	0.92	dsDNAphage	1	0.95288229	0.013294055	11323	"SRR10159355,SRR10159352,SRR10159353,SRR10159350"	PRJNA562057	China
vOTU2697	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.515	RNA	0	NA	NA	11320	SRR5823598	PRJNA393632	Germany
vOTU2698	Unclassified	Peduoviridae	Unclassified	temperate	Low-quality	Genome-fragment	25.09	0.873	dsDNAphage	0	NA	NA	11319	SRR6325799	PRJNA392834	China
vOTU2699	VC_2112_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	31.68	0.993	dsDNAphage	3	0.984942079	0.008573155	11315	"SRR10159349,SRR10159352,SRR10159348"	PRJNA562057	China
vOTU2700	Unclassified	Closteroviridae_like	Unclassified	virulent	Low-quality	Genome-fragment	21.97	0.993	dsDNAphage	5	NA	NA	11310	DRR012576	PRJNA202273	Japan
vOTU2701	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	23.39	0.953	dsDNAphage	2	0.999843001	0.001926127	11307	SRR5823605	PRJNA393632	Germany
vOTU2702	VC_2256_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.990890503	0.007251303	11307	"SRR14026608,SRR14026597,SRR14026609,SRR14026586"	PRJNA714492	Switzerland
vOTU2703	Unclassified	Herelleviridae	Unclassified	temperate	Low-quality	Genome-fragment	8.6	1	dsDNAphage	1	1	0	11306	SRR1745835	PRJNA271842	India
vOTU2704	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.72	0.96	dsDNAphage	4	NA	NA	11305	"SRR5823597,SRR5823601,SRR5823602"	PRJNA393632	Germany
vOTU2705	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	5.95	0.993	dsDNAphage	3	0.995523036	0.005929451	11304	"SRR10159352,SRR10159350"	PRJNA562057	China
vOTU2706	Unclassified	Triavirus	Unclassified	virulent	Low-quality	Genome-fragment	24.5	0.98	dsDNAphage	2	NA	NA	11301	SRR17754575	PRJNA799794	China
vOTU2707	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	8.09	0.773	dsDNAphage	0	NA	NA	11300	SRR9313736	PRJNA531524	China
vOTU2708	VC_813_0	Triavirus	Unclassified	temperate	Low-quality	Genome-fragment	23.91	0.807	dsDNAphage	0	NA	NA	11299	SRR9313735	PRJNA531524	China
vOTU2709	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	12.63	0.993	dsDNAphage	5	0.990885675	0.007251303	11292	SRR5512133	PRJNA385547	China
vOTU2710	VC_2121_0	Dolichocephalovirinae_like	Unclassified	virulent	Low-quality	Genome-fragment	23.88	0.987	dsDNAphage	2	NA	NA	11292	"SRR10159349,SRR10159347,SRR5823597,SRR10159352,SRR10159353,SRR10159348"	"PRJNA562057,PRJNA393632"	"China,Germany"
vOTU2711	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.7	0.707	dsDNAphage	0	0.999999344	0.000358788	11289	"SRR5823605,SRR5823607"	PRJNA393632	Germany
vOTU2712	VC_2047_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	15.47	0.987	dsDNAphage	1	0.906508207	0.017259612	11280	SRR17754575	PRJNA799794	China
vOTU2713	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.991700649	0.007043583	11279	SRR17754575	PRJNA799794	China
vOTU2714	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.982316017	0.008950827	11277	SRR9313736	PRJNA531524	China
vOTU2715	Unclassified	Herelleviridae	Unclassified	temperate	Low-quality	Genome-fragment	5.9	0.693	dsDNAphage	0	0.999973416	0.000887529	11275	"SRR5823607,SRR5823604"	PRJNA393632	Germany
vOTU2716	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.973	dsDNAphage	1	NA	NA	11274	SRR5823601	PRJNA393632	Germany
vOTU2717	VC_2257_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	16.05	1	dsDNAphage	2	NA	NA	11272	"SRR12550803,SRR12550807,SRR12550831,SRR12550804,SRR12550806,SRR12550805"	PRJNA632564	China
vOTU2718	VC_217_0	Casadabanvirus	Unclassified	virulent	Low-quality	Genome-fragment	30.29	0.953	dsDNAphage	4	0.923113763	0.016032178	11271	"SRR10159350,SRR10159353"	PRJNA562057	China
vOTU2719	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	0.747	dsDNAphage	0	NA	NA	11270	SRR5823601	PRJNA393632	Germany
vOTU2720	VC_1266_0	Caulimoviridae_like	Haloimpatiens	virulent	Low-quality	Genome-fragment	23.71	0.973	dsDNAphage	0	0.999269009	0.003153561	11266	SRR17754576	PRJNA799794	China
vOTU2721	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	13.87	1	dsDNAphage	4	NA	NA	11264	"SRR5823612,SRR5823599"	PRJNA393632	Germany
vOTU2722	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	3.02	NA	NA	NA	0.999878943	0.001775059	11263	SRR5823607	PRJNA393632	Germany
vOTU2723	Unclassified	Deejayvirinae	Unclassified	virulent	Low-quality	Genome-fragment	18.59	0.993	dsDNAphage	4	0.998252869	0.004437646	11262	"SRR5823605,SRR5823607,SRR5823604"	PRJNA393632	Germany
vOTU2724	VC_2258_0	unknown	Unclassified	virulent	High-quality	High-quality	100	0.927	dsDNAphage	0	NA	NA	11253	SRR17754576	PRJNA799794	China
vOTU2725	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	15.45	1	dsDNAphage	4	NA	NA	11251	SRR7012218	PRJNA450451	China
vOTU2726	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	14.85	0.967	dsDNAphage	0	NA	NA	11246	SRR1190384	PRJNA240951	China
vOTU2727	Unclassified	Autographiviridae	Dickeya	virulent	Low-quality	Genome-fragment	25.4	1	dsDNAphage	5	1	0	11241	"SRR6049602,SRR6325799"	PRJNA392834	China
vOTU2728	Unclassified	Mesyanzhinovviridae	Unclassified	virulent	Low-quality	Genome-fragment	14.54	0.82	dsDNAphage	2	NA	NA	11241	DRR012575	PRJNA202273	Japan
vOTU2729	VC_940_0	Herelleviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.993	dsDNAphage	3	0.994792581	0.00613717	11228	"SRR5823607,SRR5823605"	PRJNA393632	Germany
vOTU2730	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	26.7	0.987	dsDNAphage	1	NA	NA	11223	SRR9313735	PRJNA531524	China
vOTU2731	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	8.03	0.973	dsDNAphage	1	NA	NA	11214	SRR9313735	PRJNA531524	China
vOTU2732	VC_2095_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.953	dsDNAphage	1	NA	NA	11214	SRR5823601	PRJNA393632	Germany
vOTU2733	VC_1817_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.956362844	0.012803082	11213	SRR17754576	PRJNA799794	China
vOTU2734	Unclassified	unknown	Lysinibacillus	virulent	Low-quality	Genome-fragment	8.94	0.893	dsDNAphage	5	NA	NA	11211	SRR17754575	PRJNA799794	China
vOTU2735	VC_1982_0	Phycodnaviridae	Unclassified	virulent	Low-quality	Genome-fragment	5.48	NA	NA	NA	0.985425055	0.008459853	11203	"SRR14026605,SRR14026602,SRR14026601,SRR14026600,SRR14026603,SRR14026604"	PRJNA714492	Switzerland
vOTU2736	VC_732_0	Herelleviridae	Unclassified	virulent	Low-quality	Genome-fragment	8.02	0.667	dsDNAphage	0	0.999999523	0.000302138	11203	SRR1745835	PRJNA271842	India
vOTU2737	VC_1372_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	13.95	0.96	dsDNAphage	3	0.999565363	0.002757006	11194	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU2738	VC_2259_0	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.980019093	0.009271848	11194	SRR17754576	PRJNA799794	China
vOTU2739	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	6.94	0.893	dsDNAphage	0	0.97209692	0.010480399	11190	"SRR5259839,SRR5259940,SRR5259939"	"PRJNA370742,PRJNA370747,PRJNA370746"	American
vOTU2740	Unclassified	Casjensviridae	Unclassified	virulent	Low-quality	Genome-fragment	6.32	0.727	dsDNAphage	0	0.999778032	0.002058313	11181	SRR12550822	PRJNA632564	China
vOTU2741	Unclassified	Azeredovirinae	Unclassified	virulent	Low-quality	Genome-fragment	24.41	1	dsDNAphage	6	0.930742264	0.015541204	11180	SRR9313736	PRJNA531524	China
vOTU2742	VC_1980_0	unknown	Bacillus	virulent	Low-quality	Genome-fragment	1.09	0.793	dsDNAphage	2	NA	NA	11172	SRR17754575	PRJNA799794	China
vOTU2743	Unclassified	Kyanoviridae	Unclassified	virulent	Low-quality	Genome-fragment	4.08	0.62	dsDNAphage	0	NA	NA	11170	"SRR5823612,SRR5823606,SRR5823613,SRR5823610,SRR5823608,SRR5823599,SRR11450579"	"PRJNA393632,PRJNA616041"	"Germany,American"
vOTU2744	Unclassified	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.983433008	0.008799758	11170	"SRR7012216,SRR7012209,SRR7012210"	PRJNA450451	China
vOTU2745	Unclassified	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.925733209	0.015881109	11165	SRR17754576	PRJNA799794	China
vOTU2746	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	0.6	dsDNAphage	0	NA	NA	11161	SRR14026575	PRJNA714492	Switzerland
vOTU2747	VC_2260_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	26.55	0.967	dsDNAphage	0	NA	NA	11160	SRR11450584	PRJNA616041	American
vOTU2748	Unclassified	unknown	Unclassified	temperate	Not-determined	Genome-fragment	NA	0.94	dsDNAphage	0	0.911729574	0.016919707	11157	SRR17754576	PRJNA799794	China
vOTU2749	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	2.3	1	dsDNAphage	2	0.96227169	0.012047738	11156	"SRR12550810,SRR12550798,SRR12550811,SRR12550802,SRR12550809,SRR12550847,SRR12550789,SRR12550846,SRR12550813,SRR12550849,SRR12550785,SRR12550799"	PRJNA632564	China
vOTU2750	VC_2242_0	Polycipiviridae	Unclassified	virulent	High-quality	High-quality	100	1	RNA	1	NA	NA	11152	"SRR11450577,SRR11450586,SRR11450580,SRR11450579"	PRJNA616041	American
vOTU2751	Unclassified	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.999756694	0.002171614	11151	SRR5823607	PRJNA393632	Germany
vOTU2752	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	17	0.987	dsDNAphage	1	NA	NA	11144	SRR5512138	PRJNA385547	China
vOTU2753	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	13.4	1	dsDNAphage	1	NA	NA	11139	SRR5823608	PRJNA393632	Germany
vOTU2754	Unclassified	unknown	Unclassified	virulent	High-quality	High-quality	100	0.92	RNA	1	NA	NA	11125	SRR11450580	PRJNA616041	American
vOTU2755	VC_2075_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	17.45	1	dsDNAphage	1	0.999092579	0.003417932	11120	"SRR1190308,SRR1190306"	PRJNA240951	China
vOTU2756	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	45.83	0.92	dsDNAphage	0	NA	NA	11114	DRR012576	PRJNA202273	Japan
vOTU2757	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	12.84	0.947	dsDNAphage	0	NA	NA	11113	"SRR5823602,SRR5823601"	PRJNA393632	Germany
vOTU2758	Unclassified	unknown	Unclassified	virulent	Low-quality	Genome-fragment	17.43	1	dsDNAphage	1	NA	NA	11098	SRR14660891	PRJNA732820	China
vOTU2759	Unclassified	unknown	Citrobacter	virulent	Low-quality	Genome-fragment	27.37	0.98	dsDNAphage	1	NA	NA	11090	"SRR14026606,SRR14026577,SRR14026607,SRR14026576,SRR14026574,SRR14026575"	PRJNA714492	Switzerland
vOTU2760	VC_2156_0	unknown	Unclassified	virulent	Low-quality	Genome-fragment	13.98	0.987	dsDNAphage	0	NA	NA	11087	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU2761	Unclassified	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.994371951	0.006269356	11084	SRR17754575	PRJNA799794	China
vOTU2762	VC_2080_0	unknown	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.961815238	0.012085505	11083	SRR5823607	PRJNA393632	Germany
vOTU2763	Unclassified	unknown	Unclassified	temperate	Low-quality	Genome-fragment	16.7	0.867	dsDNAphage	1	NA	NA	11079	"SRR14026577,SRR14026576,SRR14026608,SRR14026579,SRR14026597,SRR14026586,SRR14026609,SRR14026578,SRR14026575,SRR14026607,SRR14026606"	PRJNA714492	Switzerland
